epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,13998.3,1.048,0.40618,1.06039,0.85322,0.80564,0.84489,0.46282,1.45317,0.64811,1.11262,0.00220437,0.00220437,0.00220437
61,14230,1.04375,0.40368,1.06235,0.85292,0.79999,0.84294,0.46193,1.45414,0.64753,1.11277,0.00207224,0.00207224,0.00207224
62,14461.4,1.04702,0.40602,1.06433,0.84861,0.81251,0.84545,0.46251,1.45317,0.64812,1.11195,0.00194011,0.00194011,0.00194011
63,14691.9,1.04257,0.40314,1.05952,0.85106,0.8101,0.84522,0.46322,1.45265,0.64751,1.11144,0.00180798,0.00180798,0.00180798
64,14926.2,1.02716,0.39575,1.05768,0.84669,0.81101,0.84237,0.46326,1.45202,0.64626,1.11135,0.00167585,0.00167585,0.00167585
65,15158.1,1.02697,0.39586,1.05577,0.84704,0.81119,0.84442,0.46332,1.45175,0.64603,1.11112,0.00154372,0.00154372,0.00154372
66,15383.2,1.00976,0.35364,1.07362,0.8472,0.80715,0.84318,0.46438,1.45212,0.64535,1.11134,0.00141159,0.00141159,0.00141159
67,15606,0.99996,0.35049,1.07194,0.8471,0.80801,0.84339,0.4638,1.4519,0.64431,1.11114,0.00127946,0.00127946,0.00127946
68,15823.9,0.99694,0.34746,1.06688,0.84754,0.8093,0.84376,0.46422,1.45192,0.6447,1.11167,0.00114733,0.00114733,0.00114733
69,16043.2,0.98385,0.34192,1.06215,0.84786,0.80674,0.84356,0.46407,1.45208,0.64412,1.11151,0.00101521,0.00101521,0.00101521
70,16259.4,0.98602,0.34132,1.05974,0.85087,0.80674,0.84466,0.46437,1.45181,0.64412,1.11146,0.000883076,0.000883076,0.000883076
71,16475.8,0.97415,0.3398,1.05938,0.85202,0.80161,0.84361,0.4638,1.45118,0.64342,1.11127,0.000750947,0.000750947,0.000750947
72,16701.2,0.97603,0.33805,1.05772,0.85147,0.8061,0.84543,0.46512,1.45047,0.64332,1.11071,0.000618817,0.000618817,0.000618817
73,16924.5,0.96502,0.3345,1.05616,0.84966,0.80547,0.84444,0.4656,1.45077,0.64259,1.11067,0.000486688,0.000486688,0.000486688
74,17144.5,0.9609,0.33122,1.05337,0.85115,0.807,0.84497,0.46559,1.4515,0.64227,1.11077,0.000354559,0.000354559,0.000354559
75,17364.2,0.96201,0.33077,1.0526,0.84813,0.80801,0.84448,0.46596,1.4515,0.64311,1.11079,0.000222429,0.000222429,0.000222429
